TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
Condo for sale,315000,2,2,1400,40.761255,-73.974483
House for sale,260000,4,2,2015,40.541805,-74.196109
House for sale,690000,5,2,4004,40.674363,-73.958725
Co-op for sale,265000,1,1,750,40.821586,-73.874089
Co-op for sale,440000,2,1,978,40.615738,-73.969694
Co-op for sale,375000,2,1,850,40.82487,-73.922983
Townhouse for sale,689000,3,2,1162,40.624996,-74.155306
Condo for sale,549000,2,2,1000,40.540621,-74.167163
Townhouse for sale,975000,3,2,1734,40.760768,-73.905667
Co-op for sale,199000,3,1,325,40.618103,-74.036905
Co-op for sale,350000,1,1,700,40.90737,-73.906558
Condo for sale,599000,2,2,974,40.732471,-73.86708
House for sale,639999,3,2,1260,40.62074,-74.111436
Condo for sale,349900,1,1,651,40.590206,-74.095803
House for sale,750000,2,2,1330,40.503979,-74.239656
Multi-family home for sale,925000,5,2,2750,40.824239,-73.817381
Condo for sale,329000,1,2,794,40.62104,-74.150431
Multi-family home for sale,848000,5,4,2080,40.661548,-73.898309
Co-op for sale,279000,1,1,750,40.617917,-73.954631
Condo for sale,528000,1,1,602,40.62759,-74.00162
Multi-family home for sale,700000,6,2,3053,40.852813,-73.917687
Multi-family home for sale,699000,4,3,1591,40.68475,-73.802733
Condo for sale,329000,2,1,837,40.631535,-74.085634
Multi-family home for sale,889000,2,2,1520,40.623319,-74.125992
Co-op for sale,220500,2,1,900,40.648149,-74.084798
House for sale,998800,3,4,2400,40.6175,-74.103996
House for sale,998800,3,4,2400,40.618648,-74.101909
Co-op for sale,559500,1,1,800,40.575194,-73.966998
Co-op for sale,750000,1,1,835,40.764371,-73.959358
Condo for sale,655000,3,2,803,40.696727,-73.907404
Multi-family home for sale,798000,3,4,2150,40.587484,-74.070106
House for sale,585000,3,2,1100,40.578426,-74.105437
House for sale,595000,3,1,1316,40.623915,-73.929123
Condo for sale,215000,1,1,625,40.726773,-74.002538
House for sale,314000,3,1,1572,40.636237,-73.939679
Condo for sale,395000,5,1,1000,40.77004,-73.963887
Multi-family home for sale,790000,6,3,2520,40.610586,-74.126818
Co-op for sale,539000,2,2,1100,40.617073,-74.038384
House for sale,400000,7,3,2385,40.896915,-73.865498
Co-op for sale,280000,1,1,1000,40.624177,-74.021684
House for sale,899000,3,2,1440,40.5159,-74.231483
Condo for sale,325000,2,1,979,40.789751,-73.948726
House for sale,694000,3,3,1360,40.542313,-74.155567
House for sale,688888,4,2,2846,40.872618,-73.865177
House for sale,400000,4,2,1980,40.665357,-73.877087
House for sale,400000,4,2,1980,40.665357,-73.877087
House for sale,319000,3,2,1224,40.56047,-74.101893
House for sale,650000,3,2,1522,40.723245,-73.729329
House for sale,799000,4,2,1975,40.538781,-74.193378
Co-op for sale,259000,3,2,1089,40.824637,-73.807206
Condo for sale,189000,2,2,966,40.61096,-74.060351
Condo for sale,759000,3,2,1200,40.788176,-73.787705
Condo for sale,499000,1,1,630,40.770232,-73.961016
Co-op for sale,69900,2,1,700,40.822499,-73.811157
Condo for sale,649000,3,2,1182,40.730294,-73.805925
House for sale,499000,5,2,1760,40.866386,-73.887895
Townhouse for sale,650000,3,2,1638,40.84545,-73.820977
Condo for sale,500000,4,3,1794,40.790571,-73.975339
House for sale,350000,2,1,490,40.573127,-74.089182
Co-op for sale,90000,1,1,450,40.842371,-73.923444
House for sale,650000,4,2,2244,40.696871,-73.73904
House for sale,729900,3,2,1150,40.530213,-74.198191
Co-op for sale,449000,2,2,1549,40.757799,-73.715956
House for sale,675000,3,2,2400,40.610206,-73.91065
House for sale,879000,4,2,1238,40.527325,-74.198328
House for sale,998000,4,4,2000,40.515251,-74.235145
House for sale,955000,4,4,2100,40.551184,-74.184065
House for sale,880000,3,2,1743,40.766831,-73.791118
Condo for sale,198000,1,1,750,40.71276,-73.83433
House for sale,549000,5,3,496,40.86797,-73.836565
